EquipmentState,"Breakdown voltage, kV","Moisture content, g/t","Acid number, mgKOH/g",Oil tangent at 90?,Concentration of  ionol additive,"Flash point in closed cup, ?",H2,CH4,C2H4,C2H6,C2H2,"??2, % vol.","??, % vol.","Noload losses, measured during commissioning tests with a shortcircuited phase ""a"", W","Noload losses, measured during commissioning tests with a shortcircuited phase ""b"", W","Noload losses, measured during commissioning tests with a shortcircuited phase ""c"", W"
1,736,180000,16100,170,15802,151,111136,200,3100,100,310000,200000,150000,313600000,321180000,318640000
1,648,198000,6300,300,15802,147,95256,1100,4300,3000,12900000,520000,37000,313600000,321180000,318640000
1,720,230000,400,75,15802,151,108720,100,400,0,0,90000,7000,313600000,321180000,318640000
0,412,136000,16835,200,15802,143,58916,100,1600,100,160000,160000,17000,313600000,321180000,318640000
1,460,136000,16835,280,15802,139,63940,700,2600,700,1820000,460000,27000,313600000,321180000,318640000
0,537,136000,16835,100,15802,148,79476,100,400,0,0,100000,8000,313600000,321180000,318640000
0,566,136000,16835,160,15802,139,78674,200,1800,100,180000,170000,15000,313600000,321180000,318640000
0,600,210000,10400,200,15802,139,83400,200,8900,100,890000,230000,34000,21800000,34300000,21000000
1,600,100000,4500,500,15802,145,87000,1000,3700,1600,5920000,610000,29000,240000000,351000000,254000000
0,600,170000,2500,200,15802,145,87000,200,500,200,100000,120000,8000,8600000,12600000,9000000
1,413,136000,22130,100,15802,152,62776,499,19,0,0,70360,2470,313600000,321180000,318640000
1,738,136000,10300,87,15802,141,104058,136,0,1740,0,42010,5200,313600000,321180000,318640000
1,688,136000,11200,410,15802,146,100448,973,416,105,43680,120670,3446,313600000,321180000,318640000
1,706,136000,13000,100,15802,147,103782,367,713,35,24955,99476,904,313600000,321180000,318640000
1,698,136000,41250,350,15802,144,100512,954,55,15,825,132550,14076,313600000,321180000,318640000
1,550,169000,4000,100,15802,140,77000,110,40,640,25600,80000,10000,313600000,321180000,318640000
1,500,81000,3000,600,15802,144,72000,270,250,60,15000,140000,10000,313600000,321180000,318640000
0,710,37000,1000,100,15802,144,102240,190,660,240,158400,180000,10000,313600000,321180000,318640000
1,540,162000,7100,500,15802,150,81000,150,570,20,11400,160000,20000,313600000,321180000,318640000
1,500,146000,11200,300,15802,148,74000,100,40,10,400,110000,10000,3550000,5400000,3650000
0,590,136000,16835,100,15802,144,84960,280,170,50,8500,120000,10000,8250000,12000000,8250000
1,674,94000,16835,100,15802,150,101100,150,110,30,3300,190000,20000,12000000,17000000,12000000
1,614,16500,16835,100,15802,145,89030,160,1090,40,43600,100000,10000,6000000,8000000,6000000
1,638,16600,16835,700,15802,158,100804,170,2460,50,123000,0,0,313600000,321180000,318640000
1,627,40000,16835,300,15802,148,92796,130,2160,30,64800,246000,372000,313600000,321180000,318640000
